HUM;Distance moyenne;GPT;Distance moyenne;Deepseek;Distance moyenne
该;0,2;外观;0;本身;0,2
经济型;0,2;同价位;0;位于;0,8
连锁;0,3;周围环境;0;半山腰;1
这家;0,5;这家;0,1;顺心;1
班车;1,1;提供;0,4;不像;1,2
五星级;1,3;回;0,5;胃口;1,3
星级;1,4;周边环境;0,5;有心;1,3
粤海;1,5;型;0,5;选;1,4
位置;1,5;位置;0,7;提供;1,4
外部环境;1,7;设有;1,6;藏;1,5
挺不错;1,7;离;1,7;这家;1,5
这个;1,7;规范;1,7;有些;2
派;1,7;配套;1,8;良心;2
花园式;1,8;管理;1,9;必须;2,3
四星级;1,9;周边;1,9;藏书;2,3
一家;2;完善;2;花园里;2,4
五星;2;订;2,1;位置;2,6
此;2;选;2,2;附近;2,6
非常感谢;2;两晚;2,3;一只;2,6
国际;2,2;便利;2,3;停车场;2,8
到达;2,2;实用型;2,3;大门;2,8
专门;2,3;整体;2,4;最好;2,9
地理位置;2,4;有序;2,4;完美;2,9
管理;2,4;维护;2,5;第一次;2,9
最好;2,5;温馨;2,5;免费;2,9
对;2,5;南京;2,7;无障碍;3
选择;2,6;总体;2,8;倍增;3
丹东;2,7;好找;2,8;这;3,1
超值;2,8;步行;2,8;。;3,2
印象;2,8;地铁站;2,9;在;3,3
环境;2,9;两天;3;设计;3,3
大堂;2,9;一家;3;机场;3,3
硬件;2,9;安稳;3;有;3,3
四星;3;交通;3,2;真心;3,3
这回;3;市中心;3,2;不错;3,4
最高;3;三天;3,3;一家;3,4
从;3;很多;3,4;老;3,4
感谢您;3,1;。;3,4;凌晨;3,4
算是;3,2;各项;3,4;住;3,5
入住;3,2;不远;3,5;自行车;3,5
附近;3,2;指引;3,5;赞;3,5
的;3,3;属于;3,5;建筑;3,5
这样;3,3;省事;3,6;就是;3,7
性价比;3,3;舒适;3,7;过;3,7
应该;3,4;算是;3,7;明信片;3,8
宝贵意见;3,4;餐饮;3,8;租借;3,8
作为;3,5;氛围;3,8;耳塞;3,8
空气清新;3,5;住;4;周到;3,8
游乐;3,5;饮品;4;回忆;3,8
悦华;3,5;商圈;4;的;3,9
不错;3,5;出差;4;制造;4
。;3,5;;;;
在;3,6;;;;
不同;3,6;;;;
值得;3,6;;;;
推荐;3,7;;;;
服务;3,7;;;;
经常;3,7;;;;
!;3,8;;;;
令;3,8;;;;
万豪;3,9;;;;
亚龙湾;4;;;;
\;4;;;;
再次;4;;;;
