Reference	LeftContext	Pivot	RightContext
GPT_NEG_tokenise, 3	房间 一直 很 吵 ， 隔音 效果 非常	差	， 几乎 没法 好好 休息 。 房间 空调 基本 不 制冷 ，
GPT_NEG_tokenise, 113	住客 声音 很 清楚 ， 隐私 感 很	差	。 入住 时 发现 床头灯 无法 点亮 ， 没有 及时 修理 。
GPT_NEG_tokenise, 149	， 和 照片 差距 明显 。 隔音 非常	差	， 楼上 走路 声 都 听 得 清清楚楚 。 床垫 塌陷 明显
GPT_NEG_tokenise, 209	调节 。 房间 窗户 打不开 ， 空气流通 非常	差	。 浴室 洗手台 边缘 发黑 ， 看起来 长期 没有 清理 。 入住
GPT_NEG_tokenise, 222	到 一半 很 尴尬 。 房间 空气净化 效果	差	， 有点 闷闷 的 感觉 。 停车场 指示 不 清晰 ， 绕
GPT_NEG_tokenise, 239	没有 人 及时 修理 。 浴室 通风 效果	差	， 湿气 很 重散 不 出去 。 退房 时 排队 时间 很长
GPT_NEG_tokenise, 380	盖 着 不 太 舒服 。 房间 隔音	差	， 隔壁 说话 声音 很 清楚 。 停车场 车位 紧张 ， 晚上
GPT_NEG_tokenise, 389	迟缓 ， 使用 体验 很差 。 房间 空气流通	差	， 有点 闷 。 前台 服务态度 比较 冷淡 ， 缺乏 耐心 。
GPT_NEG_tokenise, 459	完全 晒干 的 感觉 。 房间 隔音 效果	差	， 隔壁 说话 清楚 得 很 。 停车场 入口 很 隐蔽 ，
GPT_NEG_tokenise, 498	着 不 太 舒服 。 房间 隔音 效果	差	， 隔壁 说话 都 能 听见 。 停车场 指引 不 清晰 ，
GPT_NEG_tokenise, 506	需要 自己 去 要 。 电视 遥控器 灵敏度	差	， 操作 不 顺畅 。 房间 空气 有点 沉闷 ， 长时间 待
GPT_NEG_tokenise, 549	无法 使用 部分 功能 。 房间 空气 循环	差	， 长时间 待 着 会 觉得 闷 。 浴室 水龙头 冷热 标识
GPT_NEG_tokenise, 576	， 像 没 晒干 一样 。 房间 隔音	差	， 走廊 脚步声 非常 清晰 。 停车场 入口 标识 不 清楚 ，
GPT_NEG_tokenise, 655	， 影响 使用 感受 。 房间 隔音 非常	差	， 楼上 走路 声 很重 。 停车场 没有 明确 标线 ， 停车
