Reference	LeftContext	Pivot	RightContext
GPT_NEG_tokenise, 9	去 晚一点 几乎 没什么 可 吃 的 。	酒店	位置 虽然 在 市区 ， 但 周边 施工 太 多 ， 白天
GPT_NEG_tokenise, 19	浴室 热水 忽冷忽热 ， 洗澡 体验 很差 。	酒店	整体 装修 比较 陈旧 ， 和 网上 图片 差距 很大 。 窗户
GPT_NEG_tokenise, 31	网络 速度慢 ， 看 视频 都 卡顿 。	酒店	整体 气味 不太好 ， 走廊 也 有 异味 。 床单 看起来 不够
GPT_NEG_tokenise, 40	退房 流程 不够 顺畅 ， 等待时间 较长 。	酒店	整体 维护 不 到位 ， 很多 细节 不太 令人满意 。 房间 一
GPT_NEG_tokenise, 69	水压 很 低 ， 洗澡 体验 不太好 。	酒店	整体 维护 不太 到位 ， 看起来 有点 旧 。 隔壁 房间 开关门
GPT_NEG_tokenise, 100	极差 ， 在 房间 角落 基本 连不上 。	酒店	外部 噪音 很大 ， 夜间 车辆 声 特别 明显 。 房间 家
GPT_NEG_tokenise, 111	地砖 有 松动 ， 走路 时有 异响 。	酒店	整体 装修 气味 比较 重 ， 让 人 不 太 舒服 。
GPT_NEG_tokenise, 148	餐厅 人手不足 ， 补餐 速度 很 慢 。	酒店	整体 装修 比较 老旧 ， 和 照片 差距 明显 。 隔音 非常
GPT_NEG_tokenise, 195	排水口 堵塞 ， 洗澡时 水漫 到 外面 。	酒店	外观 和 内部 设施 差距 很大 ， 有点 失望 。 入住 时
GPT_NEG_tokenise, 546	。 房间 隔壁 施工 声音 明显 ， 但	酒店	没有 提前 告知 。 入住 时 没有 任何 引导 ， 找 房间
GPT_NEG_tokenise, 597	类型 和 预订 完全 不 一致 ， 但	酒店	没有 任何 补偿 说明 。 入住 后 发现 房间 靠近 电梯 井
GPT_NEG_tokenise, 634	时 排队 时间 极长 ， 效率 非常低 。	酒店	整体 隔音 极差 ， 楼上 走路 声 清晰 可 闻 。 结账
GPT_NEG_tokenise, 1330	附近 ， 所以 图 方便 订 了 这家	酒店	。 刚 开始 看 网上 照片 还 觉得 挺不错 ， 评论 也
